Industry,Occupation,Person,Year,Content,Type,ID
Hollywood,Producer,Harvey Weinstein,2015,"Weinstein allegedly groped Italian model Ambra Battilana Gutierrez at what was supposed to be a business meeting at his office. Battilana Gutierrez reported the assault to the New York Police Department and extracted a taped admission of Weinsteinâ€™s behavior, but the Manhattan district attorneyâ€™s office ultimately decided not to file charges. Weinstein later reached a settlement with the model.",Allegation,112
Hollywood,Producer,Harvey Weinstein,2015,"Lauren Oâ€™Connor, then 28, wrote a memo to company executives about Weinsteinâ€™s actions creating a â€œtoxic environment for womenâ€ù and her experience of feeling â€œsexualized and diminished.â€ù Weinstein made a settlement with her before the board could hire a lawyer to investigate.",Allegation,113
Hollywood,Producer,Harvey Weinstein,1988,"Harvey Weinstein and Miramax gained wider attention in 1988 with the release of Errol Morris' documentary The Thin Blue Line, which detailed the struggle of Randall Adams, a wrongfully convicted inmate sentenced to death row. The publicity that soon surrounded the case resulted in Adams' release and nationwide publicity for Miramax.",Achievement,114
Hollywood,Producer,Harvey Weinstein,1989,"In 1989, their successful launch release of Steven Soderbergh's Sex, Lies, and Videotape propelled Miramax to become the most successful independent studio in America.",Achievement,115
Hollywood,Producer,Harvey Weinstein,1993,"in 1993, after the success of The Crying Game, Disney offered the Weinsteins $80 million for ownership of Miramax.",Achievement,116
Hollywood,Producer,Harvey Weinstein,1995,"Pulp Fiction, produced by Miramax, nomianted for the Academy Award for Best Picture.",Achievement,117
Hollywood,Producer,Harvey Weinstein,1997,Miramax won its first Academy Award for Best Picture in 1997 with the victory of The English Patient.,Achievement,118
Hollywood,Producer,Harvey Weinstein,1997,Good Will Hunting.,Achievement,119
Hollywood,Producer,Harvey Weinstein,1998,Produced Shakespeare in Love: Academy Award for Best Picture.,Achievement,120
Hollywood,Producer,Harvey Weinstein,2005,"The Weinstein brothers left Miramax on September 30, 2005, to form their own production company, The Weinstein Company, with several other media executives, directors Quentin Tarantinoand Robert Rodriguez, and Colin Vaines, who had successfully run the production department at Miramax for ten years.",Achievement,121
Hollywood,Producer,Harvey Weinstein,2012,"In 2012, he hosted an election fundraiser for President Obama at his home in Westport, Connecticut.",Achievement,122
Hollywood,Producer,Harvey Weinstein,2000,"Produced Gangs of New York, which was nominated for the Academy Award for Best Picture. ",Achievement,123
Hollywood,Producer,Harvey Weinstein,2009,"Produced Nine, which was nominated for the Golden Globe Award for Best Motion Picture - Musical or Comedy.",Achievement,124
Hollywood,Producer,Harvey Weinstein,2011,"Produced My Week with Marilyn, which was nominated for the Golden Globe Award for Best Motion Picture - Musical or Comedy.",Achievement,125
Hollywood,Producer,Harvey Weinstein,1992,Executive producer of Reservoir Dogs.,Achievement,126
Hollywood,Producer,Harvey Weinstein,1996,Executive producer of Scream.,Achievement,127
Hollywood,Producer,Harvey Weinstein,1997,Executive producer of Airbud.,Achievement,128
Hollywood,Producer,Harvey Weinstein,2000,Executive producer of Scary Movie.,Achievement,129
Hollywood,Producer,Harvey Weinstein,2001,Executive producer of The Lord of the Rings: The Fellowship of the Ring.,Achievement,130
Hollywood,Producer,Harvey Weinstein,2002,Executive producer of Chicago.,Achievement,131
Hollywood,Producer,Harvey Weinstein,2003,Executive producer of Kill Bill.,Achievement,132
Hollywood,Producer,Harvey Weinstein,2004,"Executive producer of The Aviator, starring Leonardo Di Caprio.",Achievement,133
Hollywood,Producer,Harvey Weinstein,2008,Executive producer of Rambo.,Achievement,134
Hollywood,Producer,Harvey Weinstein,2009,Executive producer of Ingloruous Basterds.,Achievement,135
Hollywood,Producer,Harvey Weinstein,2010,Executive producer of The King's Speech.,Achievement,136
Hollywood,Producer,Harvey Weinstein,2011,Executive producer of The Artist.,Achievement,137
Hollywood,Producer,Harvey Weinstein,2012,Executive producer of Lee Daniels' The Butler.,Achievement,138
Hollywood,Producer,Harvey Weinstein,2015,Executive producer of THe Hateful Eight.,Achievement,139
Hollywood,Comedian,Louis C.K.,2002,"A Chicago comedy duo, Dana Min Goodman and Julia Wolov. Louis C.K. asked if he could take out his penis, the women said. They thought it was a joke and laughed it off. â€œAnd then he really did it,â€ù Ms. Goodman said in an interview with The New York Times. â€œHe proceeded to take all of his clothes off, and get completely naked, and started masturbating.â€ù",Allegation,140
Hollywood,Comedian,Louis C.K.,2003,"Abby Schachner called Louis C.K. to invite him to one of her shows, and during the phone conversation, she said, she could hear him masturbating as they spoke.",Allegation,141
Hollywood,Comedian,Louis C.K.,2003,"Another comedian, Rebecca Corry, said that while she was appearing with Louis C.K. on a television pilot in 2005, he asked if he could masturbate in front of her. She declined.",Allegation,142
Hollywood,Comedian,Louis C.K.,1998,"A fifth woman, who spoke on condition of anonymity to protect her familyâ€™s privacy because she has not been publicly linked to the incident with Louis C.K., also has disturbing memories about an incident with the comedian. In the late â€™90s, she was working in production at â€œThe Chris Rock Showâ€ù when Louis C.K., a writer and producer there, repeatedly asked her to watch him masturbate, she said. She was in her early 20s and went along with his request, but later questioned his behavior.",Allegation,143
Hollywood,Producer,Brett Ratner,2017,"In late October 2017, a former talent agency employee accused Ratner of rape",Allegation,144
Hollywood,Producer,Brett Ratner,2008,"Journalist Danielle Berrin described being repeatedly sexually harassed by Ratner while writing an interview on him in 2008, which she had reported in a cover story in The Jewish Journal at the time,[44] as well as in a follow-up article for The Jewish Journal in 2011.[45]",Allegation,145
Hollywood,Producer,Brett Ratner,2007,"Actress Sarah Shahi stated that on multiple occasions during filming of Rush Hour 3(2007), Ratner thrust his groin against her and made graphic sexual comments",Allegation,146
Hollywood,Producer,Brett Ratner,1992,"Natasha Henstridge was watching a movie on Brett Ratnerâ€™s couch when she fell asleep. She was a 19-year-old fashion model; he was an up-and-coming music video director in his early 20s. They had been hanging out in front of the TV with friends at his New York apartment. But when Henstridge woke up, the others had left. She was alone with Ratner. She got up to leave, Henstridge said, but he blocked the doorway with his body and wouldnâ€™t budge. He began touching himself, she said, then forced her to perform oral sex.",Allegation,147
Hollywood,Producer,Brett Ratner,2004,"Olivia Munn said that while visiting the set of the 2004 Ratner-directed â€œAfter the Sunsetâ€ù when she was still an aspiring actress, he masturbated in front of her in his trailer when she went to deliver a meal. Munn wrote about the incident in her 2010 collection of essays without naming Ratner. On a television show a year later, Ratner identified himself as the director, and claimed that he had â€œbangedâ€ù her, something he later said was not true. The same year her book was published, Munn ran into Ratner at a party thrown by Creative Artists Agency and he boasted of ejaculating on magazine covers featuring her image, she told The Times.",Allegation,148
Hollywood,Talk Show Host,Charlie Rose,2007,"Reah Bravo was an intern and then associate producer for Roseâ€™s PBS show beginning in 2007. In interviews, she described unwanted sexual advances while working for Rose at his private waterfront estate in Bellport, N.Y., and while traveling with him in cars, in a hotel suite and on a private plane.",Allegation,149
Hollywood,Talk Show Host,Charlie Rose,2004,"Kyle Godfrey-Ryan, one of Roseâ€™s assistants in the mid-2000s, recalled at least a dozen instances where Rose walked nude in front of her while she worked in one of his New York City homes. He also repeatedly called the then-21-year-old late at night or early in the morning to describe his fantasies of her swimming naked in the Bellport pool as he watched from his bedroom, she said.",Allegation,150
Hollywood,Talk Show Host,Charlie Rose,2005,"Megan Creydt worked as a coordinator on the show from 2005 to 2006, overlapping with Godfrey-Ryan. â€œIt was quite early in working there that he put his hand on my mid-thigh,â€ù said Creydt, who agreed to be interviewed on the record to support other women who were coming forward with what she deemed to be more serious claims concerning Rose.",Allegation,151
Hollywood,Talk Show Host,Charlie Rose,2010,"A woman then in her 30s who was at the Bellport home in 2010 to discuss a job opportunity said Rose appeared before her in an untethered bathrobe, naked underneath. She said he subsequently attempted to put his hands down her pants. She said she pushed his hands away and wept throughout the encounter.",Allegation,152
Hollywood,Talk Show Host,Charlie Rose,1999,"A woman who began as an intern in the late 1990s and was later hired full time described a â€œritualâ€ù of young women at the show being summoned by Rose to his Manhattan apartment to work at a desk there. The woman described a day when Rose went into the bathroom, left the door open and turned on the shower.",Allegation,153
Hollywood,Talk Show Host,Charlie Rose,2002,"Another woman said that during her internship in the early 2000s, Rose groped her breasts and stomach as she drove him from Bellport back to Manhattan. Her then-boyfriend, now husband, confirmed that she described the incident to him immediately after it occurred. When Rose invited her to work regularly and stay overnight at Bellport, her boyfriend told her to refuse the offer, and she did, both told The Post.",Allegation,154
Hollywood,Talk Show Host,Matt Lauer,2001,"A former employee, who told the Times Lauer had been making â€œinappropriate commentsâ€ù to her since she started as a Today producer in the late 1990s, alleges that in 2001, Lauer summoned her to his office to discuss a story during a workday. When she sat down, he allegedly locked the door and asked her to unbutton her shirt, which she did. She claims he then stepped out from behind his desk, pulled down her pants, bent her over a chair and had intercourse with her. She allegedly passed out with her pants halfway down and woke up on the floor of his office, and she claims Lauer had his assistant take her to a nurse, according to the Times.",Allegation,155
Hollywood,Talk Show Host,Matt Lauer,2006,"As TMZ previously reported, Lauer was caught on camera making lewd comments to Vieira, 63, in October 2006. At the time of the recording, Today went to commercial break, but a local affiliate remained on NBCâ€™s in-studio feed. Lauer sat on the couch as Vieira stood up while attaching a microphone to her shirt. As she grabbed papers from the table, Lauer told her, â€œPretty sweater. Keep bending over like that. Itâ€™s a nice view.â€ù",Allegation,156
Hollywood,Talk Show Host,Matt Lauer,2014,"Alleged inapporpriate sexual behavior throughout 2014, including at the Winter Olympics in Sochi, Russia.",Allegation,157
Washington,Judge,Roy Moore,1979,"Leigh Corfman, who said that Moore initiated a sexual encounter with her in 1979, when she was 14 and he was 32 years old.[17] Corfman said that Moore met her and her mother in the hallway of the county courthouse, where Moore was working as an assistant district attorney, and offered to sit with Corfman while her mother went into a courtroom to testify.[17] Corfman said that during that discussion he asked for her phone number which she gave him, they later went on two dates, for each date he picked her up in his car around the corner from her house and drove her to his house, and on the first date he ""told her how pretty she was and kissed her"". On a second date, Moore allegedly ""took off her shirt and pants and removed his clothes ... touched her over her bra and underpants ... and guided her hand to touch him over his underwear"".[17]",Allegation,158
Washington,Judge,Roy Moore,1977,"Beverly Young Nelson was 16 Moore sexually assaulted her. Nelson accepted a ride from Moore after she finished work because she ""trusted him because he was the District Attorney"". She said that Moore stopped the car, began groping her and then tried to force her head into his crotch. She said that when she fought him off, he eventually gave up, but told her, ""You're just a child, I'm the district attorney; if you tell anyone about this no one will ever believe you.""",Allegation,159
Washington,Judge,Roy Moore,1991,"Tina Johnson, then 27, said that Moore grabbed her buttocks while she was in his law office to sign documents transferring custody of her son to her mother in 1991. Johnson also said that Moore commented on her looks and it made her feel uncomfortable.",Allegation,160
Washington,Judge,Roy Moore,1979,"A second woman, Wendy Miller, in the same The Washington Post report, outlined an account about Moore approaching her while she was working at Gadsden Mall as Santa's helper at 14 and later at 16 when he asked her out on dates, which her mother prohibited due to his age.",Allegation,161
Washington,Judge,Roy Moore,1979,"A third woman, Debbie Wesson Gibson, in the same The Washington Post report, described Moore asking her out after speaking at her high school civics class when she was 17 and Moore was 34. She said they dated for two or three months which included kisses, but did not say that Moore forced her into any sort of relationship or sexual contact.",Allegation,162
Washington,Judge,Roy Moore,1977,"A fourth woman, Gloria Thacker Deason, spoke of dating 32 year old Moore over several months after meeting him at the Gadsden Mall when she was 18. She said that her dates included bottles of Mateus RosÃ© wine and tropical cocktails, while the legal drinking age in Alabama at the time was 19. She also stated that the dates were approved by her mother, and included kissing, but did not say that Moore forced her into any sort of relationship or sexual contact.",Allegation,163
Washington,Judge,Roy Moore,1978,"Kelly Harrison Thorp claimed Moore approached her asking for a date while she was working at a Red Lobster. She was 17 then and Moore was in his early 30's. Thorp asked if he knew how old she was, and she says that he stated: ""I go out with girls your age all the time."" Thorp denied his request.",Allegation,164
Washington,Judge,Roy Moore,1977,"Gena Richardson stated that Moore started pursuing her when she was a senior in high school, near her 18th birthday.[32] Richardson stated that Moore approached her when she was working in Sears at the Gadsden Mall and asked for her phone number.[32] According to Richardson, after she refused to give Moore her number, Moore called her at her high school and asked her out on a date.[32] Richardson stated that she eventually went on a date with him, and when she started to get out of his car, ""he grabbed [her] and pulled [her] in and ... kissed [her].""[32] Richardson said the kiss scared her and described it as ""a man kiss â€” like really deep tongue. Like very forceful tongue. It was a surprise.""[32] Richardson's account was corroborated by classmate and Sears co-worker Kayla McLaughlin.",Allegation,165
Washington,Judge,Roy Moore,1977,"Becky Gray said she was 22 and working in the local mall when Moore ""started coming up to"" her, resulting in her repeatedly rejecting his dating offers. She said she ""...thought he was 'old'."" Gray complained to her store manager after becoming disturbed by Moore's advances.",Allegation,166
Washington,Senator,Al Franken,2006,"LeeannTweeden, a female radio host. She claimed Franken, now Minnesota's junior Democratic senator, groped her while she was sleeping aboard a military plane on her way home from a USO tour in 2006. The alleged incident was captured in a photograph. She also claimed he forcibly kissed her when they were practicing a performance together for troops overseas.",Allegation,167
Washington,Senator,Al Franken,2010,"Lindsay Menz accused Franken of groping her while posing for a photo together at the Minnesota State Fair in 2010. â€œMy husband steps away from us to take the photo. I stand next to Sen. Franken and he pulls me into him and then he moves his hand to my butt,â€ù Menz, 33, told ABC News' chief national correspondent Tom Llamas. â€œI was shocked.â€ù",Allegation,168
Washington,Senator,Al Franken,2007,"The first woman's alleged incident reportedly took place on June 25, 2007, at an event in Minneapolis hosted by the Minnesota Women's Political Caucus. Franken was not a senator but would have been running for his senatorial bid at the time of the alleged incident. ""My story is eerily similar to Lindsay Menzâ€™s story,"" the first woman told Huffington Post. ""He grabbed my buttocks during a photo op.""",Allegation,169
Washington,Senator,Al Franken,2008,"The second accuser, who also remains anonymous, said that Franken cupped her butt during a Democratic fundraiser in Minneapolis in 2008. The woman said that he suggested they visit the bathroom together, the Huffington Post reports.",Allegation,170
Washington,President,Donald Trump rip,1980,Jessica Leeds alleges Trump groped grabbed her breasts and tried to put his hand up her skirt.,Allegation,171
Washington,President,Donald Trump rip,1989,"In a divorce deposition, Trump's first wife used ""rape"" to describe an incident that transpired between them. After a settlement was reached, and the rape allegation became public in a 1993 book, Ivana softened the claim. As part of her nondisclosure agreement, she is not allowed to discuss her marriage to Trump without his permission.",Allegation,172
Washington,President,Donald Trump rip,1993,"A former business partner, Harth alleges Trump forcibly kissed her on the lips and groped her breasts and grabbed her genitals, in what she referred to in a 1997 lawsuit as ""attempted rape"". On a previous occasion, she alleges, he groped her under the table during dinner with colleagues at the Plaza Hotel.",Allegation,173
Washington,President,Donald Trump rip,1992,Kristen Anderson alleges Trump put his hand up her skirt and touched her genitals through her underwear.,Allegation,174
Washington,President,Donald Trump rip,1996,"Lisa Boyne alleges Trump insisted the female models walk across the table and that he looked up their skirts, commenting on whether they were wearing underwear and their genitalia.",Allegation,175
Washington,President,Donald Trump rip,1997,Cathy Heller alleges Trump forcibly kissed her on the lips in public. ,Allegation,176
Washington,President,Donald Trump rip,1997,"Temple Taggart, former Miss Utah alleges Trump forcibly kissed her on the mouth on two occassions, including the first time she met him.",Allegation,177
Washington,President,Donald Trump rip,1997,"Mariah Billado,the former Miss Vermont Teen USA and other unnamed accusers allege Trump walked into the dressing room unannounced while teen beauty queens aged 15 to 19 were naked.",Allegation,178
Washington,President,Donald Trump rip,1998,Karena Virginia alleges Trump grabbed her arm and touched her breast.,Allegation,179
Washington,President,Donald Trump rip,2000,"Bridget Sullivan, former Miss New Hampshire alleges Trump walked in to the dressing room unannounced while contestants were naked.",Allegation,180
Washington,President,Donald Trump rip,2001,"Tasha Dixon, former Miss Arizona alleges Trump entered dressing rooms while her fellow contestants were ""half-naked"".",Allegation,181
Washington,President,Donald Trump rip,2003,Melina McGillivray alleges Trump grabbed her buttock in a pavilion behind the main house in the middle of a group of people. ,Allegation,182
Washington,President,Donald Trump rip,2005,"Jennifer Murphy, the former contestant on The Apprentice alleges Trump forcibly kissed her after a job interview.",Allegation,183
Washington,President,Donald Trump rip,2005,Rachel Crooks alleges Trump kissed her forcibly on the lips.,Allegation,184
Washington,President,Donald Trump rip,2005,Natasha Stoynoff alleges Trump forcibly kissed her.,Allegation,185
Washington,President,Donald Trump rip,2006,The former Miss Finland alleges Trump grabbed her buttocks during a photoshoot before an appearance on The Late Show with David Letterman.,Allegation,186
Washington,President,Donald Trump rip,2006,"Jessica Drake alleges Trump forcibly kissed her and two female friends on the lips and when rebuffed, pursued her, asking: ""How much?""",Allegation,187
Washington,President,Donald Trump rip,2006,"Samantha Holvey, former Miss North Carolina alleges Trump would barge into the pageant dressing room and inspected women like ""meat"". ",Allegation,188
Washington,President,Donald Trump rip,2007,The former contestant on The Apprentice has accused Trump of groping and kissing her on two occasions. She has filed a defamation claim against the now-president.,Allegation,189
Washington,President,Donald Trump rip,2013,The former Miss Washington 2013 alleges in a comment on Facebook that Trump repeatedly grabbed her buttocks and invited her to his hotel room.,Allegation,190
Washington,Former President,George H. W. Bush,2003,"Rosyln Corriginan was allegedly groped on her buttocks by him when she was 16 at a November 2003 event in The Woodlands, Texas, office of the Central Intelligence Agency where Corriganâ€™s father gathered with fellow intelligence officers and family members to meet Bush.",Allegation,191
Washington,Former President,George H. W. Bush,2013,"Actress Heather Lind was the first to openly accuse Bush of groping her while they posed for a photo during a promotional tour for her AMC series Turn: Washingtonâ€™s Spies in 2013. â€œHe didnâ€™t shake my hand. He touched me from behind from his wheelchair with his wife Barbara Bush by his side,â€ù Lind wrote in a now-deleted Instagram post on Oct. 24.",Allegation,192
Washington,Former President,George H. W. Bush,2016,"New York-based actress Jordana Grolnick told Deadspin Bush groped her in August 2016 at a Maine theater where she was performing. She said that Bush came backstage with Barbara during the intermission of the play, The Hunchback of Notre Dame, and gathered with the cast for a photo.",Allegation,193
Washington,Former President,George H. W. Bush,2014,Best-selling author Christina Baker Kline wrote in Slate that Bush groped her during an April 2014 photo op at a Barbara Bush Foundation for Family Literacy fundraiser in Houston.,Allegation,194
Washington,Former President,George H. W. Bush,2006,"Amanda Staples, a former Maine Senate candidate said in a private Instagram post on Oct. 26 that Bush groped her in 2006.",Allegation,195
Washington,Former President,George H. W. Bush,2004,"Liz Allen, a retired Erie Times-News journalist, said in an Oct. 26 Facebook post that Bush touched her from behind at a local business association event while taking a photograph with the former president in Erie, Pa. in 2004.",Allegation,196
